Inference - 20221211_17.04
save_image: True
data_path: /scratch/08310/rs821505/Video-Dehazing-Extension/dataset/REVIDE_REDUCED128/Test/hazy
gt_path: /scratch/08310/rs821505/Video-Dehazing-Extension/dataset/REVIDE_REDUCED128/Test/gt
model_path: /scratch/08310/rs821505/Video-Dehazing-Extension/experiment/REVIDE_REDUCED/20221210_21.58/Dehaze/model/model_best.pt
result_path: ../infer_results/REVIDE_128/infer_20221211_17.04
size_must_mode: 4
device: cuda
Loading model from /scratch/08310/rs821505/Video-Dehazing-Extension/experiment/REVIDE_REDUCED/20221210_21.58/Dehaze/model/model_best.pt
> 00004 PSNR=18.971, SSIM=0.7016 pre_time:0.058s, forward_time:0.022s, post_time:0.018s, total_time:0.098s
> 00005 PSNR=19.032, SSIM=0.7051 pre_time:0.033s, forward_time:0.022s, post_time:0.013s, total_time:0.068s
> 00006 PSNR=19.324, SSIM=0.6965 pre_time:0.005s, forward_time:0.021s, post_time:0.013s, total_time:0.039s
> 00007 PSNR=19.143, SSIM=0.6956 pre_time:0.054s, forward_time:0.021s, post_time:0.013s, total_time:0.088s
> 00008 PSNR=19.111, SSIM=0.6938 pre_time:0.016s, forward_time:0.021s, post_time:0.013s, total_time:0.050s
> 00009 PSNR=19.134, SSIM=0.6974 pre_time:0.019s, forward_time:0.022s, post_time:0.014s, total_time:0.055s
> 00010 PSNR=18.701, SSIM=0.6987 pre_time:0.079s, forward_time:0.022s, post_time:0.013s, total_time:0.114s
> 00011 PSNR=18.410, SSIM=0.7005 pre_time:0.013s, forward_time:0.021s, post_time:0.013s, total_time:0.047s
> 00012 PSNR=18.350, SSIM=0.7059 pre_time:0.057s, forward_time:0.024s, post_time:0.013s, total_time:0.094s
> 00013 PSNR=18.380, SSIM=0.7063 pre_time:0.023s, forward_time:0.024s, post_time:0.013s, total_time:0.060s
> 00014 PSNR=18.080, SSIM=0.7015 pre_time:0.028s, forward_time:0.024s, post_time:0.013s, total_time:0.066s
> 00015 PSNR=18.145, SSIM=0.7015 pre_time:0.052s, forward_time:0.030s, post_time:0.018s, total_time:0.100s
> 00016 PSNR=18.259, SSIM=0.7052 pre_time:0.059s, forward_time:0.025s, post_time:0.015s, total_time:0.099s
> 00017 PSNR=18.448, SSIM=0.7031 pre_time:0.051s, forward_time:0.025s, post_time:0.013s, total_time:0.089s
> 00018 PSNR=17.867, SSIM=0.6893 pre_time:0.041s, forward_time:0.025s, post_time:0.013s, total_time:0.078s
> 00019 PSNR=18.007, SSIM=0.6837 pre_time:0.049s, forward_time:0.026s, post_time:0.013s, total_time:0.088s
> 00020 PSNR=18.548, SSIM=0.6963 pre_time:0.018s, forward_time:0.025s, post_time:0.012s, total_time:0.056s
> 00021 PSNR=18.741, SSIM=0.7030 pre_time:0.018s, forward_time:0.026s, post_time:0.013s, total_time:0.057s
> 00022 PSNR=18.934, SSIM=0.7105 pre_time:0.053s, forward_time:0.026s, post_time:0.013s, total_time:0.092s
