Inference - 20221211_18.16
save_image: True
data_path: /scratch/08310/rs821505/Video-Dehazing-Extension/dataset/REVIDE_REDUCED128/Test/hazy
gt_path: /scratch/08310/rs821505/Video-Dehazing-Extension/dataset/REVIDE_REDUCED128/Test/gt
model_path: /scratch/08310/rs821505/Video-Dehazing-Extension/experiment/REVIDE_REDUCED/20221210_21.58/Dehaze/model/model_best.pt
result_path: ../infer_results/REVIDE_128/infer_20221211_18.16
size_must_mode: 4
device: cuda
Loading model from /scratch/08310/rs821505/Video-Dehazing-Extension/experiment/REVIDE_REDUCED/20221210_21.58/Dehaze/model/model_best.pt
> 00054 PSNR=16.540, SSIM=0.6116 pre_time:0.005s, forward_time:0.021s, post_time:0.013s, total_time:0.039s, prior_image:False
> 00055 PSNR=16.669, SSIM=0.6214 pre_time:0.005s, forward_time:0.021s, post_time:0.013s, total_time:0.039s, prior_image:False
> 00056 PSNR=16.470, SSIM=0.6177 pre_time:0.005s, forward_time:0.021s, post_time:0.044s, total_time:0.071s, prior_image:False
> 00057 PSNR=16.543, SSIM=0.6162 pre_time:0.007s, forward_time:0.024s, post_time:0.014s, total_time:0.045s, prior_image:False
> 00000 PSNR=19.664, SSIM=0.7037 pre_time:0.007s, forward_time:0.021s, post_time:0.015s, total_time:0.043s, prior_image:False
> 00001 PSNR=19.401, SSIM=0.7029 pre_time:0.005s, forward_time:0.021s, post_time:0.014s, total_time:0.039s, prior_image:False
> 00002 PSNR=19.339, SSIM=0.6955 pre_time:0.004s, forward_time:0.021s, post_time:0.079s, total_time:0.105s, prior_image:False
> 00003 PSNR=18.648, SSIM=0.6605 pre_time:0.006s, forward_time:0.021s, post_time:0.048s, total_time:0.074s, prior_image:False
> 00004 PSNR=19.098, SSIM=0.6865 pre_time:0.004s, forward_time:0.021s, post_time:0.059s, total_time:0.084s, prior_image:False
> 00005 PSNR=19.439, SSIM=0.7029 pre_time:0.006s, forward_time:0.021s, post_time:0.030s, total_time:0.058s, prior_image:False
> 00006 PSNR=20.819, SSIM=0.7364 pre_time:0.006s, forward_time:0.021s, post_time:0.043s, total_time:0.069s, prior_image:False
> 00007 PSNR=20.820, SSIM=0.7513 pre_time:0.013s, forward_time:0.021s, post_time:0.045s, total_time:0.079s, prior_image:False
> 00008 PSNR=21.077, SSIM=0.7785 pre_time:0.020s, forward_time:0.021s, post_time:0.071s, total_time:0.112s, prior_image:False
> 00009 PSNR=21.713, SSIM=0.7845 pre_time:0.005s, forward_time:0.021s, post_time:0.050s, total_time:0.076s, prior_image:False
> 00010 PSNR=20.379, SSIM=0.7412 pre_time:0.005s, forward_time:0.022s, post_time:0.043s, total_time:0.071s, prior_image:False
> 00011 PSNR=18.230, SSIM=0.7075 pre_time:0.005s, forward_time:0.021s, post_time:0.013s, total_time:0.039s, prior_image:False
> 00012 PSNR=16.653, SSIM=0.6909 pre_time:0.005s, forward_time:0.021s, post_time:0.014s, total_time:0.039s, prior_image:False
> 00013 PSNR=14.983, SSIM=0.6519 pre_time:0.006s, forward_time:0.021s, post_time:0.014s, total_time:0.040s, prior_image:False
> 00014 PSNR=15.273, SSIM=0.6565 pre_time:0.005s, forward_time:0.021s, post_time:0.059s, total_time:0.085s, prior_image:False
> 00015 PSNR=16.418, SSIM=0.6883 pre_time:0.006s, forward_time:0.020s, post_time:0.025s, total_time:0.051s, prior_image:False
> 00016 PSNR=17.195, SSIM=0.7010 pre_time:0.008s, forward_time:0.021s, post_time:0.062s, total_time:0.091s, prior_image:False
> 00017 PSNR=17.818, SSIM=0.7165 pre_time:0.006s, forward_time:0.020s, post_time:1.243s, total_time:1.269s, prior_image:False
> 00018 PSNR=18.677, SSIM=0.7377 pre_time:0.369s, forward_time:0.026s, post_time:0.063s, total_time:0.458s, prior_image:False
> 00019 PSNR=19.060, SSIM=0.7388 pre_time:0.007s, forward_time:0.026s, post_time:0.015s, total_time:0.048s, prior_image:False
> 00020 PSNR=19.441, SSIM=0.7703 pre_time:0.006s, forward_time:0.026s, post_time:0.013s, total_time:0.045s, prior_image:False
> 00021 PSNR=20.261, SSIM=0.7892 pre_time:0.004s, forward_time:0.026s, post_time:0.071s, total_time:0.102s, prior_image:False
> 00022 PSNR=21.001, SSIM=0.8100 pre_time:0.005s, forward_time:0.026s, post_time:0.040s, total_time:0.071s, prior_image:False
> 00023 PSNR=21.103, SSIM=0.8233 pre_time:0.005s, forward_time:0.026s, post_time:0.013s, total_time:0.044s, prior_image:False
> 00024 PSNR=21.663, SSIM=0.8411 pre_time:0.005s, forward_time:0.026s, post_time:0.060s, total_time:0.091s, prior_image:False
> 00025 PSNR=22.594, SSIM=0.8479 pre_time:0.006s, forward_time:0.026s, post_time:0.043s, total_time:0.075s, prior_image:False
> 00026 PSNR=23.169, SSIM=0.8353 pre_time:0.006s, forward_time:0.026s, post_time:0.055s, total_time:0.087s, prior_image:False
> 00027 PSNR=22.790, SSIM=0.8246 pre_time:0.008s, forward_time:0.027s, post_time:0.036s, total_time:0.071s, prior_image:False
> 00028 PSNR=22.092, SSIM=0.8043 pre_time:0.006s, forward_time:0.026s, post_time:0.053s, total_time:0.085s, prior_image:False
> 00029 PSNR=21.861, SSIM=0.7996 pre_time:0.004s, forward_time:0.026s, post_time:0.058s, total_time:0.088s, prior_image:False
> 00030 PSNR=20.948, SSIM=0.7776 pre_time:0.005s, forward_time:0.026s, post_time:0.060s, total_time:0.092s, prior_image:False
