Inference - 20221211_18.16
save_image: True
data_path: /scratch/08310/rs821505/Video-Dehazing-Extension/dataset/REVIDE_REDUCED/Test/hazy
gt_path: /scratch/08310/rs821505/Video-Dehazing-Extension/dataset/REVIDE_REDUCED/Test/gt
model_path: /scratch/08310/rs821505/Video-Dehazing-Extension/experiment/REVIDE_REDUCED/20221210_19.51/Dehaze/model/model_best.pt
result_path: ../infer_results/REVIDE_64/infer_20221211_18.16
size_must_mode: 4
device: cuda
Loading model from /scratch/08310/rs821505/Video-Dehazing-Extension/experiment/REVIDE_REDUCED/20221210_19.51/Dehaze/model/model_best.pt
> 00018 PSNR=16.920, SSIM=0.6458 pre_time:0.004s, forward_time:0.017s, post_time:0.022s, total_time:0.043s, prior_image:False
> 00019 PSNR=17.385, SSIM=0.6926 pre_time:0.004s, forward_time:0.017s, post_time:0.060s, total_time:0.082s, prior_image:False
> 00020 PSNR=17.934, SSIM=0.7200 pre_time:0.004s, forward_time:0.017s, post_time:0.042s, total_time:0.064s, prior_image:False
> 00021 PSNR=18.372, SSIM=0.7612 pre_time:1.092s, forward_time:0.017s, post_time:0.064s, total_time:1.174s, prior_image:False
> 00022 PSNR=18.576, SSIM=0.7960 pre_time:0.004s, forward_time:0.017s, post_time:0.006s, total_time:0.028s, prior_image:False
> 00023 PSNR=19.129, SSIM=0.8150 pre_time:0.004s, forward_time:0.017s, post_time:0.032s, total_time:0.053s, prior_image:False
> 00024 PSNR=21.127, SSIM=0.8463 pre_time:0.004s, forward_time:0.017s, post_time:0.051s, total_time:0.073s, prior_image:False
> 00025 PSNR=23.953, SSIM=0.8504 pre_time:0.004s, forward_time:0.017s, post_time:0.050s, total_time:0.071s, prior_image:False
> 00026 PSNR=26.275, SSIM=0.8766 pre_time:0.004s, forward_time:0.017s, post_time:0.055s, total_time:0.077s, prior_image:False
> 00027 PSNR=25.997, SSIM=0.8814 pre_time:0.003s, forward_time:0.017s, post_time:0.005s, total_time:0.025s, prior_image:False
> 00028 PSNR=24.081, SSIM=0.8665 pre_time:0.003s, forward_time:0.017s, post_time:0.043s, total_time:0.064s, prior_image:False
> 00029 PSNR=22.913, SSIM=0.8346 pre_time:0.003s, forward_time:0.017s, post_time:0.034s, total_time:0.054s, prior_image:False
> 00030 PSNR=22.128, SSIM=0.8195 pre_time:0.009s, forward_time:0.017s, post_time:0.054s, total_time:0.081s, prior_image:False
> 00031 PSNR=21.351, SSIM=0.7917 pre_time:0.008s, forward_time:0.017s, post_time:0.102s, total_time:0.127s, prior_image:False
> 00032 PSNR=20.834, SSIM=0.7751 pre_time:0.009s, forward_time:0.017s, post_time:0.010s, total_time:0.037s, prior_image:False
> 00033 PSNR=19.951, SSIM=0.7615 pre_time:0.009s, forward_time:0.017s, post_time:0.006s, total_time:0.033s, prior_image:False
