Inference - 20221211_18.30
save_image: True
data_path: /scratch/08310/rs821505/Video-Dehazing-Extension/dataset/REVIDE_REDUCED128/Test/hazy
gt_path: /scratch/08310/rs821505/Video-Dehazing-Extension/dataset/REVIDE_REDUCED128/Test/gt
model_path: /scratch/08310/rs821505/Video-Dehazing-Extension/experiment/REVIDE_REDUCED/20221210_21.58/Dehaze/model/model_best.pt
result_path: ../infer_results/REVIDE_128/infer_20221211_18.30
size_must_mode: 4
device: cuda
Loading model from /scratch/08310/rs821505/Video-Dehazing-Extension/experiment/REVIDE_REDUCED/20221210_21.58/Dehaze/model/model_best.pt
Starting inference
Starting the images
> 00004 PSNR=13.661, SSIM=0.4688 pre_time:0.004s, forward_time:0.016s, post_time:0.062s, total_time:0.082s, prior_image:True
> 00005 PSNR=13.713, SSIM=0.5082 pre_time:0.021s, forward_time:0.016s, post_time:0.012s, total_time:0.049s, prior_image:True
> 00006 PSNR=14.083, SSIM=0.5133 pre_time:0.003s, forward_time:0.015s, post_time:0.036s, total_time:0.054s, prior_image:True
> 00007 PSNR=13.611, SSIM=0.4814 pre_time:0.118s, forward_time:0.016s, post_time:0.032s, total_time:0.166s, prior_image:True
> 00008 PSNR=13.625, SSIM=0.4952 pre_time:0.004s, forward_time:0.016s, post_time:0.031s, total_time:0.052s, prior_image:True
> 00009 PSNR=13.356, SSIM=0.4713 pre_time:0.010s, forward_time:0.017s, post_time:0.157s, total_time:0.183s, prior_image:True
> 00010 PSNR=13.269, SSIM=0.4710 pre_time:0.006s, forward_time:0.017s, post_time:0.084s, total_time:0.108s, prior_image:True
> 00011 PSNR=12.962, SSIM=0.4579 pre_time:0.005s, forward_time:0.016s, post_time:0.012s, total_time:0.033s, prior_image:True
> 00012 PSNR=12.418, SSIM=0.4330 pre_time:0.003s, forward_time:0.016s, post_time:0.045s, total_time:0.064s, prior_image:True
> 00013 PSNR=11.735, SSIM=0.3930 pre_time:0.004s, forward_time:0.016s, post_time:0.068s, total_time:0.089s, prior_image:True
> 00014 PSNR=12.343, SSIM=0.4613 pre_time:0.005s, forward_time:0.016s, post_time:0.013s, total_time:0.035s, prior_image:True
> 00015 PSNR=12.846, SSIM=0.4497 pre_time:0.011s, forward_time:0.016s, post_time:0.053s, total_time:0.080s, prior_image:True
> 00016 PSNR=13.352, SSIM=0.4865 pre_time:0.005s, forward_time:0.016s, post_time:0.049s, total_time:0.070s, prior_image:True
> 00017 PSNR=13.660, SSIM=0.4919 pre_time:0.005s, forward_time:0.017s, post_time:0.054s, total_time:0.076s, prior_image:True
> 00018 PSNR=13.795, SSIM=0.5028 pre_time:0.005s, forward_time:0.016s, post_time:0.060s, total_time:0.081s, prior_image:True
> 00019 PSNR=13.632, SSIM=0.4916 pre_time:0.004s, forward_time:0.017s, post_time:0.116s, total_time:0.136s, prior_image:True
> 00020 PSNR=13.295, SSIM=0.5161 pre_time:0.004s, forward_time:0.017s, post_time:0.012s, total_time:0.033s, prior_image:True
> 00021 PSNR=13.229, SSIM=0.5212 pre_time:0.004s, forward_time:0.016s, post_time:0.043s, total_time:0.063s, prior_image:True
> 00022 PSNR=13.130, SSIM=0.5254 pre_time:0.004s, forward_time:0.017s, post_time:0.064s, total_time:0.085s, prior_image:True
> 00023 PSNR=13.129, SSIM=0.5421 pre_time:0.021s, forward_time:0.016s, post_time:0.013s, total_time:0.050s, prior_image:True
> 00024 PSNR=13.746, SSIM=0.5544 pre_time:0.005s, forward_time:0.018s, post_time:0.208s, total_time:0.231s, prior_image:True
> 00025 PSNR=14.593, SSIM=0.5579 pre_time:0.006s, forward_time:0.017s, post_time:0.013s, total_time:0.035s, prior_image:True
> 00026 PSNR=15.472, SSIM=0.5841 pre_time:0.004s, forward_time:0.016s, post_time:0.064s, total_time:0.084s, prior_image:True
> 00027 PSNR=15.473, SSIM=0.5686 pre_time:0.022s, forward_time:0.016s, post_time:0.052s, total_time:0.090s, prior_image:True
> 00028 PSNR=15.343, SSIM=0.5546 pre_time:0.004s, forward_time:0.016s, post_time:0.058s, total_time:0.078s, prior_image:True
> 00029 PSNR=15.396, SSIM=0.5532 pre_time:0.005s, forward_time:0.017s, post_time:0.030s, total_time:0.052s, prior_image:True
> 00030 PSNR=15.257, SSIM=0.5624 pre_time:0.020s, forward_time:0.016s, post_time:0.013s, total_time:0.048s, prior_image:True
> 00031 PSNR=14.851, SSIM=0.5449 pre_time:0.012s, forward_time:0.017s, post_time:0.013s, total_time:0.042s, prior_image:True
> 00032 PSNR=14.606, SSIM=0.5080 pre_time:0.013s, forward_time:0.016s, post_time:0.036s, total_time:0.065s, prior_image:True
> 00033 PSNR=14.605, SSIM=0.4714 pre_time:0.005s, forward_time:0.016s, post_time:0.067s, total_time:0.088s, prior_image:True
> 00034 PSNR=14.709, SSIM=0.4541 pre_time:0.004s, forward_time:0.016s, post_time:0.083s, total_time:0.104s, prior_image:True
> 00035 PSNR=14.909, SSIM=0.4459 pre_time:0.003s, forward_time:0.016s, post_time:0.062s, total_time:0.081s, prior_image:True
> 00000 PSNR=18.935, SSIM=0.7115 pre_time:0.007s, forward_time:0.026s, post_time:0.057s, total_time:0.090s, prior_image:False
> 00001 PSNR=19.081, SSIM=0.7075 pre_time:0.004s, forward_time:0.016s, post_time:0.205s, total_time:0.225s, prior_image:True
> 00002 PSNR=19.203, SSIM=0.7064 pre_time:0.023s, forward_time:0.017s, post_time:0.073s, total_time:0.112s, prior_image:True
> 00003 PSNR=18.814, SSIM=0.6854 pre_time:0.005s, forward_time:0.016s, post_time:0.052s, total_time:0.072s, prior_image:True
> 00004 PSNR=18.790, SSIM=0.6721 pre_time:0.004s, forward_time:0.017s, post_time:0.077s, total_time:0.097s, prior_image:True
> 00005 PSNR=18.618, SSIM=0.6699 pre_time:0.013s, forward_time:0.017s, post_time:0.045s, total_time:0.075s, prior_image:True
> 00006 PSNR=18.561, SSIM=0.6557 pre_time:0.004s, forward_time:0.016s, post_time:0.061s, total_time:0.081s, prior_image:True
> 00007 PSNR=18.232, SSIM=0.6559 pre_time:0.025s, forward_time:0.016s, post_time:0.012s, total_time:0.054s, prior_image:True
> 00008 PSNR=18.252, SSIM=0.6531 pre_time:0.022s, forward_time:0.016s, post_time:0.028s, total_time:0.066s, prior_image:True
> 00009 PSNR=16.502, SSIM=0.5128 pre_time:0.005s, forward_time:0.016s, post_time:0.013s, total_time:0.034s, prior_image:True
> 00010 PSNR=15.731, SSIM=0.5233 pre_time:0.005s, forward_time:0.016s, post_time:0.030s, total_time:0.051s, prior_image:True
> 00011 PSNR=16.148, SSIM=0.5694 pre_time:0.004s, forward_time:0.016s, post_time:0.046s, total_time:0.067s, prior_image:True
> 00012 PSNR=16.384, SSIM=0.5952 pre_time:0.027s, forward_time:0.018s, post_time:0.065s, total_time:0.111s, prior_image:True
> 00013 PSNR=16.697, SSIM=0.6014 pre_time:0.005s, forward_time:0.016s, post_time:0.012s, total_time:0.033s, prior_image:True
> 00014 PSNR=16.982, SSIM=0.6093 pre_time:0.004s, forward_time:0.016s, post_time:0.048s, total_time:0.068s, prior_image:True
> 00015 PSNR=15.994, SSIM=0.4990 pre_time:0.005s, forward_time:0.017s, post_time:0.013s, total_time:0.035s, prior_image:True
> 00016 PSNR=16.468, SSIM=0.5490 pre_time:0.005s, forward_time:0.017s, post_time:0.012s, total_time:0.034s, prior_image:True
> 00017 PSNR=16.963, SSIM=0.5836 pre_time:0.004s, forward_time:0.016s, post_time:0.057s, total_time:0.077s, prior_image:True
> 00018 PSNR=17.189, SSIM=0.6090 pre_time:0.005s, forward_time:0.016s, post_time:0.086s, total_time:0.107s, prior_image:True
> 00019 PSNR=17.427, SSIM=0.6256 pre_time:0.004s, forward_time:0.016s, post_time:0.064s, total_time:0.084s, prior_image:True
> 00020 PSNR=16.659, SSIM=0.5219 pre_time:0.004s, forward_time:0.016s, post_time:0.066s, total_time:0.087s, prior_image:True
> 00021 PSNR=17.058, SSIM=0.5798 pre_time:0.004s, forward_time:0.016s, post_time:0.013s, total_time:0.034s, prior_image:True
> 00022 PSNR=17.446, SSIM=0.6125 pre_time:0.004s, forward_time:0.016s, post_time:0.057s, total_time:0.077s, prior_image:True
> 00023 PSNR=17.635, SSIM=0.6252 pre_time:0.004s, forward_time:0.016s, post_time:0.019s, total_time:0.040s, prior_image:True
> 00024 PSNR=17.808, SSIM=0.6420 pre_time:0.004s, forward_time:0.016s, post_time:0.072s, total_time:0.093s, prior_image:True
> 00025 PSNR=18.056, SSIM=0.6567 pre_time:0.004s, forward_time:0.016s, post_time:0.012s, total_time:0.033s, prior_image:True
> 00026 PSNR=16.935, SSIM=0.5467 pre_time:0.004s, forward_time:0.016s, post_time:0.013s, total_time:0.033s, prior_image:True
> 00027 PSNR=17.444, SSIM=0.6178 pre_time:0.021s, forward_time:0.016s, post_time:0.013s, total_time:0.051s, prior_image:True
> 00028 PSNR=17.726, SSIM=0.6460 pre_time:0.004s, forward_time:0.016s, post_time:0.012s, total_time:0.032s, prior_image:True
> 00029 PSNR=18.151, SSIM=0.6658 pre_time:0.006s, forward_time:0.017s, post_time:0.059s, total_time:0.082s, prior_image:True
> 00030 PSNR=18.521, SSIM=0.6791 pre_time:0.004s, forward_time:0.016s, post_time:0.065s, total_time:0.086s, prior_image:True
> 00031 PSNR=18.511, SSIM=0.5989 pre_time:0.004s, forward_time:0.017s, post_time:0.061s, total_time:0.082s, prior_image:True
> 00032 PSNR=18.815, SSIM=0.6449 pre_time:0.004s, forward_time:0.016s, post_time:0.013s, total_time:0.033s, prior_image:True
> 00033 PSNR=18.134, SSIM=0.5934 pre_time:0.005s, forward_time:0.016s, post_time:0.600s, total_time:0.621s, prior_image:True
> 00034 PSNR=17.627, SSIM=0.6003 pre_time:0.006s, forward_time:0.016s, post_time:0.057s, total_time:0.079s, prior_image:True
> 00035 PSNR=16.618, SSIM=0.5796 pre_time:0.005s, forward_time:0.016s, post_time:0.037s, total_time:0.058s, prior_image:True
> 00036 PSNR=15.819, SSIM=0.5690 pre_time:0.006s, forward_time:0.016s, post_time:0.045s, total_time:0.068s, prior_image:True
> 00037 PSNR=15.550, SSIM=0.5725 pre_time:0.004s, forward_time:0.016s, post_time:0.013s, total_time:0.033s, prior_image:True
> 00038 PSNR=16.315, SSIM=0.6341 pre_time:0.004s, forward_time:0.016s, post_time:0.012s, total_time:0.033s, prior_image:True
> 00039 PSNR=15.754, SSIM=0.6059 pre_time:0.004s, forward_time:0.016s, post_time:0.012s, total_time:0.033s, prior_image:True
> 00040 PSNR=14.905, SSIM=0.6110 pre_time:0.026s, forward_time:0.016s, post_time:0.054s, total_time:0.096s, prior_image:True
> 00041 PSNR=15.349, SSIM=0.6432 pre_time:0.005s, forward_time:0.016s, post_time:0.046s, total_time:0.067s, prior_image:True
> 00042 PSNR=15.581, SSIM=0.6450 pre_time:0.004s, forward_time:0.016s, post_time:0.052s, total_time:0.072s, prior_image:True
> 00043 PSNR=15.864, SSIM=0.6333 pre_time:0.004s, forward_time:0.016s, post_time:0.043s, total_time:0.064s, prior_image:True
> 00044 PSNR=15.787, SSIM=0.6254 pre_time:0.004s, forward_time:0.016s, post_time:0.012s, total_time:0.032s, prior_image:True
> 00045 PSNR=16.735, SSIM=0.5692 pre_time:0.004s, forward_time:0.016s, post_time:0.226s, total_time:0.246s, prior_image:True
> 00046 PSNR=16.238, SSIM=0.6256 pre_time:0.006s, forward_time:0.016s, post_time:0.041s, total_time:0.064s, prior_image:True
> 00047 PSNR=16.412, SSIM=0.6559 pre_time:0.005s, forward_time:0.016s, post_time:0.063s, total_time:0.084s, prior_image:True
> 00048 PSNR=16.542, SSIM=0.6936 pre_time:0.005s, forward_time:0.016s, post_time:0.012s, total_time:0.033s, prior_image:True
> 00049 PSNR=17.815, SSIM=0.6476 pre_time:0.004s, forward_time:0.016s, post_time:0.053s, total_time:0.073s, prior_image:True
> 00050 PSNR=18.637, SSIM=0.7185 pre_time:0.005s, forward_time:0.017s, post_time:0.041s, total_time:0.063s, prior_image:True
> 00051 PSNR=18.699, SSIM=0.7327 pre_time:0.006s, forward_time:0.016s, post_time:0.013s, total_time:0.035s, prior_image:True
> 00052 PSNR=18.516, SSIM=0.7353 pre_time:0.004s, forward_time:0.016s, post_time:0.047s, total_time:0.067s, prior_image:True
> 00053 PSNR=18.450, SSIM=0.7360 pre_time:0.005s, forward_time:0.016s, post_time:0.012s, total_time:0.033s, prior_image:True
> 00054 PSNR=18.267, SSIM=0.7313 pre_time:0.025s, forward_time:0.016s, post_time:0.013s, total_time:0.054s, prior_image:True
> 00055 PSNR=18.080, SSIM=0.7258 pre_time:0.004s, forward_time:0.016s, post_time:0.013s, total_time:0.033s, prior_image:True
> 00056 PSNR=15.539, SSIM=0.6258 pre_time:0.004s, forward_time:0.016s, post_time:0.012s, total_time:0.032s, prior_image:True
> 00000 PSNR=21.872, SSIM=0.7490 pre_time:0.004s, forward_time:0.026s, post_time:0.065s, total_time:0.096s, prior_image:False
> 00001 PSNR=21.700, SSIM=0.7415 pre_time:0.017s, forward_time:0.016s, post_time:0.033s, total_time:0.066s, prior_image:True
> 00002 PSNR=21.188, SSIM=0.7176 pre_time:0.004s, forward_time:0.016s, post_time:0.082s, total_time:0.103s, prior_image:True
> 00003 PSNR=20.735, SSIM=0.6992 pre_time:0.004s, forward_time:0.016s, post_time:0.055s, total_time:0.075s, prior_image:True
> 00004 PSNR=20.359, SSIM=0.6829 pre_time:0.004s, forward_time:0.016s, post_time:0.067s, total_time:0.087s, prior_image:True
> 00005 PSNR=20.026, SSIM=0.6820 pre_time:0.019s, forward_time:0.017s, post_time:0.059s, total_time:0.095s, prior_image:True
